 Date,EMURetailSalesYoY Close,EMURetailSalesYoY Adj. Close
11/30/2010,1.6,1.6
10/31/2010,0.7,0.7
9/30/2010,0.7,0.7
8/31/2010,1.4,1.4
7/31/2010,0.4,0.4
6/30/2010,1,1
5/31/2010,0.8,0.8
4/30/2010,-0.6,-0.6
3/31/2010,1.3,1.3
2/28/2010,-0.5,-0.5
1/31/2010,-0.4,-0.4
12/31/2009,-0.9,-0.9
11/30/2009,-3,-3
10/31/2009,-1.8,-1.8
9/30/2009,-3.4,-3.4
8/31/2009,-2.7,-2.7
7/31/2009,-1.9,-1.9
6/30/2009,-2.7,-2.7
5/31/2009,-3.6,-3.6
4/30/2009,-2.4,-2.4
3/31/2009,-3.1,-3.1
2/28/2009,-4.6,-4.6
1/31/2009,-2.3,-2.3
12/31/2008,-1.5,-1.5
11/30/2008,-1.6,-1.6
10/31/2008,-1.8,-1.8
9/30/2008,-0.6,-0.6
8/31/2008,-1.5,-1.5
7/31/2008,-1.5,-1.5
6/30/2008,-1.7,-1.7
5/31/2008,0.8,0.8
4/30/2008,-1.2,-1.2
3/31/2008,-1.6,-1.6
2/29/2008,1.5,1.5
1/31/2008,1.6,1.6
12/31/2007,-0.9,-0.9
11/30/2007,0.7,0.7
10/31/2007,1.3,1.3
9/30/2007,1.9,1.9
8/31/2007,2.2,2.2
7/31/2007,2,2
6/30/2007,1.8,1.8
5/31/2007,0.9,0.9
4/30/2007,2.5,2.5
3/31/2007,3.3,3.3
2/28/2007,2.3,2.3
1/31/2007,1.8,1.8
12/31/2006,2.6,2.6
11/30/2006,2.5,2.5
10/31/2006,2.1,2.1
9/30/2006,2.1,2.1
8/31/2006,2.8,2.8
7/31/2006,2.6,2.6
6/30/2006,2.5,2.5
5/31/2006,2.7,2.7
4/30/2006,2.4,2.4
3/31/2006,1.3,1.3
2/28/2006,2.1,2.1
1/31/2006,1.5,1.5
12/31/2005,0.7,0.7
11/30/2005,0.5,0.5
10/31/2005,1.9,1.9
9/30/2005,2.2,2.2
8/31/2005,4.2,4.2
7/31/2005,2.3,2.3
6/30/2005,1.7,1.7
5/31/2005,1.1,1.1
4/30/2005,0.1,0.1
3/31/2005,2,2
2/28/2005,1.5,1.5
1/31/2005,1.9,1.9
12/31/2004,2.3,2.3
11/30/2004,2.2,2.2
10/31/2004,0.1,0.1
9/30/2004,1.2,1.2
8/31/2004,1.1,1.1
7/31/2004,1.8,1.8
6/30/2004,2.1,2.1
5/31/2004,0.5,0.5
4/30/2004,2.2,2.2
3/31/2004,1.7,1.7
2/29/2004,0.8,0.8
1/31/2004,2,2
12/31/2003,0.3,0.3
11/30/2003,-0.6,-0.6
10/31/2003,1.1,1.1
9/30/2003,-0.1,-0.1
8/31/2003,0.1,0.1
7/31/2003,0.2,0.2
6/30/2003,1,1
5/31/2003,0.2,0.2
4/30/2003,1.3,1.3
3/31/2003,0.2,0.2
2/28/2003,1.3,1.3
1/31/2003,2.3,2.3
12/31/2002,-0.6,-0.6
11/30/2002,0.2,0.2
10/31/2002,2.7,2.7
9/30/2002,1.6,1.6
8/31/2002,1.7,1.7
7/31/2002,1.5,1.5
6/30/2002,0.3,0.3
5/31/2002,1.6,1.6
4/30/2002,0.8,0.8
3/31/2002,1.2,1.2
2/28/2002,1.2,1.2
1/31/2002,-0.7,-0.7
12/31/2001,2.1,2.1
11/30/2001,1.9,1.9
10/31/2001,0.8,0.8
9/30/2001,2.3,2.3
8/31/2001,3.3,3.3
7/31/2001,2.2,2.2
6/30/2001,3.4,3.4
5/31/2001,2.1,2.1
4/30/2001,2.7,2.7
3/31/2001,3.5,3.5
2/28/2001,3.1,3.1
1/31/2001,4.3,4.3
12/31/2000,3.4,3.4
11/30/2000,3.1,3.1
10/31/2000,2.5,2.5
9/30/2000,4,4
8/31/2000,0.2,0.2
7/31/2000,2.3,2.3
6/30/2000,3.2,3.2
5/31/2000,4.4,4.4
4/30/2000,3.7,3.7
3/31/2000,0.4,0.4
2/29/2000,3.7,3.7
1/31/2000,1,1
12/31/1999,2.8,2.8
11/30/1999,2.6,2.6
10/31/1999,3.3,3.3
9/30/1999,1,1
8/31/1999,1.8,1.8
7/31/1999,2.1,2.1
6/30/1999,3,3
5/31/1999,1.3,1.3
4/30/1999,2.2,2.2
3/31/1999,3.4,3.4
2/28/1999,2.3,2.3
1/31/1999,1.8,1.8
