 Date,CCMP_EC Open,CCMP_EC Low,CCMP_EC High,CCMP_EC Close,CCMP_EC Adj. Close
4/27/2009,"1,672.87","1,670.49","1,700.53","1,679.41","1,679.41"
4/24/2009,"1,666.43","1,657.49","1,702.87","1,694.29","1,694.29"
4/23/2009,"1,651.47","1,625.88","1,654.85","1,652.21","1,652.21"
4/22/2009,"1,630.14","1,624.73","1,679.82","1,646.12","1,646.12"
4/21/2009,"1,599.03","1,598.93","1,643.85","1,643.85","1,643.85"
4/20/2009,"1,641.35","1,606.86","1,643.32","1,608.21","1,608.21"
4/17/2009,"1,665.60","1,653.84","1,682.24","1,673.07","1,673.07"
4/16/2009,"1,645.52","1,628.08","1,676.17","1,670.44","1,670.44"
4/15/2009,"1,613.56","1,599.11","1,627.72","1,626.80","1,626.80"
4/14/2009,"1,637.50","1,618.04","1,651.28","1,625.72","1,625.72"
4/13/2009,"1,641.61","1,630.54","1,660.83","1,653.31","1,653.31"
4/9/2009,"1,618.83","1,616.25","1,652.54","1,652.54","1,652.54"
4/8/2009,"1,576.93","1,567.22","1,595.97","1,590.66","1,590.66"
4/7/2009,"1,585.58","1,559.46","1,588.00","1,561.61","1,561.61"
4/6/2009,"1,602.24","1,580.65","1,607.60","1,606.71","1,606.71"
4/3/2009,"1,609.05","1,593.05","1,621.87","1,621.87","1,621.87"
4/2/2009,"1,579.97","1,576.82","1,623.34","1,602.63","1,602.63"
4/1/2009,"1,504.87","1,498.54","1,553.03","1,551.60","1,551.60"
3/31/2009,"1,518.70","1,518.01","1,554.47","1,528.59","1,528.59"
3/30/2009,"1,516.79","1,484.98","1,517.06","1,501.80","1,501.80"
3/27/2009,"1,564.12","1,543.43","1,569.21","1,545.20","1,545.20"
3/26/2009,"1,549.40","1,545.21","1,587.00","1,587.00","1,587.00"
3/25/2009,"1,527.59","1,487.94","1,554.25","1,528.95","1,528.95"
3/24/2009,"1,535.68","1,515.63","1,546.21","1,516.52","1,516.52"
3/23/2009,"1,491.26","1,482.15","1,555.77","1,555.77","1,555.77"
3/20/2009,"1,488.15","1,448.78","1,501.78","1,457.27","1,457.27"
3/19/2009,"1,509.06","1,475.49","1,509.06","1,483.48","1,483.48"
3/18/2009,"1,454.44","1,448.67","1,507.40","1,491.22","1,491.22"
3/17/2009,"1,409.67","1,405.32","1,462.11","1,462.11","1,462.11"
3/16/2009,"1,445.27","1,402.48","1,445.27","1,404.02","1,404.02"
3/13/2009,"1,427.03","1,408.26","1,433.98","1,431.50","1,431.50"
3/12/2009,"1,367.78","1,355.05","1,427.55","1,426.10","1,426.10"
3/11/2009,"1,364.80","1,352.60","1,385.29","1,371.64","1,371.64"
3/10/2009,"1,288.95","1,288.95","1,358.28","1,358.28","1,358.28"
3/9/2009,"1,284.84","1,265.52","1,316.15","1,268.64","1,268.64"
3/6/2009,"1,310.59","1,268.54","1,320.51","1,293.85","1,293.85"
3/5/2009,"1,332.38","1,298.33","1,342.86","1,299.59","1,299.59"
3/4/2009,"1,340.38","1,333.88","1,370.29","1,353.74","1,353.74"
3/3/2009,"1,341.42","1,312.98","1,346.88","1,321.01","1,321.01"
3/2/2009,"1,356.13","1,322.13","1,372.00","1,322.85","1,322.85"
2/27/2009,"1,376.56","1,372.42","1,401.97","1,377.84","1,377.84"
2/26/2009,"1,436.85","1,391.47","1,444.83","1,391.47","1,391.47"
2/25/2009,"1,428.76","1,404.54","1,453.66","1,425.43","1,425.43"
2/24/2009,"1,399.37","1,395.11","1,445.07","1,441.83","1,441.83"
2/23/2009,"1,452.58","1,386.68","1,452.58","1,387.72","1,387.72"
2/20/2009,"1,427.03","1,416.96","1,454.39","1,441.23","1,441.23"
2/19/2009,"1,478.55","1,442.53","1,485.14","1,442.82","1,442.82"
2/18/2009,"1,480.65","1,454.46","1,487.92","1,467.97","1,467.97"
2/17/2009,"1,489.12","1,467.79","1,492.82","1,470.66","1,470.66"
2/13/2009,"1,539.72","1,530.05","1,552.57","1,534.36","1,534.36"
2/12/2009,"1,510.17","1,495.34","1,542.51","1,541.71","1,541.71"
2/11/2009,"1,531.58","1,509.35","1,542.84","1,530.50","1,530.50"
2/10/2009,"1,578.02","1,520.56","1,598.50","1,524.73","1,524.73"
2/9/2009,"1,590.74","1,576.10","1,598.23","1,591.56","1,591.56"
2/6/2009,"1,547.00","1,545.85","1,594.26","1,591.71","1,591.71"
2/5/2009,"1,498.59","1,495.52","1,554.37","1,546.24","1,546.24"
2/4/2009,"1,517.19","1,508.87","1,549.64","1,515.05","1,515.05"
2/3/2009,"1,499.59","1,479.42","1,521.21","1,516.30","1,516.30"
2/2/2009,"1,460.85","1,460.51","1,502.72","1,494.43","1,494.43"
