 Date,IP_YOY Close,IP_YOY Adj. Close
2/29/2012,4.3,4.3
1/31/2012,3.6,3.6
12/31/2011,2.8,2.8
11/30/2011,3.3,3.3
10/31/2011,3.4,3.4
9/30/2011,2.4,2.4
8/31/2011,2.7,2.7
7/31/2011,2.4,2.4
6/30/2011,2.3,2.3
5/31/2011,2.2,2.2
4/30/2011,3.4,3.4
3/31/2011,4.2,4.2
2/28/2011,3.8,3.8
1/31/2011,4.6,4.6
12/31/2010,6,6
11/30/2010,5.3,5.3
10/31/2010,5.7,5.7
9/30/2010,6.3,6.3
8/31/2010,6.9,6.9
7/31/2010,7.7,7.7
6/30/2010,8.5,8.5
5/31/2010,7.9,7.9
4/30/2010,5.3,5.3
3/31/2010,4,4
2/28/2010,1.7,1.7
1/31/2010,0.7,0.7
12/31/2009,-2.8,-2.8
11/30/2009,-5.9,-5.9
10/31/2009,-7.5,-7.5
9/30/2009,-6.9,-6.9
8/31/2009,-11.6,-11.6
7/31/2009,-13.9,-13.9
6/30/2009,-15.3,-15.3
5/31/2009,-15.2,-15.2
4/30/2009,-14.8,-14.8
3/31/2009,-14.8,-14.8
2/28/2009,-13.6,-13.6
1/31/2009,-13.4,-13.4
12/31/2008,-11.5,-11.5
11/30/2008,-8.8,-8.8
10/31/2008,-7.1,-7.1
9/30/2008,-8.4,-8.4
8/31/2008,-3.8,-3.8
7/31/2008,-2.2,-2.2
6/30/2008,-1.7,-1.7
5/31/2008,-1.6,-1.6
4/30/2008,-1,-1
3/31/2008,0.4,0.4
2/29/2008,0.9,0.9
1/31/2008,2.2,2.2
12/31/2007,2,2
11/30/2007,3.1,3.1
10/31/2007,2.5,2.5
9/30/2007,2.9,2.9
8/31/2007,2.4,2.4
7/31/2007,2.6,2.6
6/30/2007,2.6,2.6
5/31/2007,2.9,2.9
4/30/2007,2.8,2.8
3/31/2007,2.5,2.5
2/28/2007,2.5,2.5
1/31/2007,1.5,1.5
12/31/2006,2.1,2.1
11/30/2006,1.6,1.6
10/31/2006,2.7,2.7
9/30/2006,4.1,4.1
8/31/2006,2.3,2.3
7/31/2006,2.2,2.2
6/30/2006,1.9,1.9
5/31/2006,1.9,1.9
4/30/2006,2.3,2.3
3/31/2006,2,2
2/28/2006,1.6,1.6
1/31/2006,2.3,2.3
12/31/2005,2.6,2.6
11/30/2005,2.7,2.7
10/31/2005,1.9,1.9
9/30/2005,1.6,1.6
8/31/2005,3.6,3.6
7/31/2005,3.4,3.4
6/30/2005,4.6,4.6
5/31/2005,3.3,3.3
4/30/2005,3.9,3.9
3/31/2005,4.3,4.3
2/28/2005,3.9,3.9
1/31/2005,3.8,3.8
12/31/2004,3.6,3.6
11/30/2004,2.8,2.8
10/31/2004,3.4,3.4
9/30/2004,2.6,2.6
8/31/2004,3.1,3.1
7/31/2004,2.8,2.8
6/30/2004,2.5,2.5
5/31/2004,3.5,3.5
4/30/2004,2.7,2.7
3/31/2004,1.5,1.5
2/29/2004,1.8,1.8
1/31/2004,1.5,1.5
12/31/2003,1.9,1.9
11/30/2003,1.4,1.4
10/31/2003,1.1,1.1
9/30/2003,0.7,0.7
8/31/2003,0.2,0.2
7/31/2003,0.4,0.4
6/30/2003,-0.3,-0.3
5/31/2003,0.5,0.5
4/30/2003,1,1
3/31/2003,2.1,2.1
2/28/2003,3.2,3.2
1/31/2003,2.9,2.9
12/31/2002,2.8,2.8
11/30/2002,3.4,3.4
10/31/2002,2.3,2.3
9/30/2002,2.2,2.2
8/31/2002,1.7,1.7
7/31/2002,1.5,1.5
6/30/2002,1.1,1.1
5/31/2002,-0.4,-0.4
4/30/2002,-1.5,-1.5
3/31/2002,-2.1,-2.1
2/28/2002,-3.2,-3.2
1/31/2002,-3.8,-3.8
12/31/2001,-5,-5
11/30/2001,-5.3,-5.3
10/31/2001,-4.8,-4.8
9/30/2001,-4.6,-4.6
8/31/2001,-3.9,-3.9
7/31/2001,-4,-4
6/30/2001,-3.6,-3.6
5/31/2001,-2.9,-2.9
4/30/2001,-2.1,-2.1
3/31/2001,-1.1,-1.1
2/28/2001,-0.5,-0.5
1/31/2001,0.4,0.4
12/31/2000,1.1,1.1
11/30/2000,2.1,2.1
10/31/2000,2.6,2.6
9/30/2000,4.3,4.3
8/31/2000,3.4,3.4
7/31/2000,4.2,4.2
6/30/2000,5,5
5/31/2000,4.7,4.7
4/30/2000,5.3,5.3
3/31/2000,4.8,4.8
2/29/2000,4.6,4.6
1/31/2000,4.8,4.8
12/31/1999,5.3,5.3
11/30/1999,4.9,4.9
10/31/1999,4.4,4.4
9/30/1999,3.8,3.8
8/31/1999,4,4
7/31/1999,5.7,5.7
6/30/1999,4.7,4.7
5/31/1999,4.2,4.2
4/30/1999,4.1,4.1
3/31/1999,4.2,4.2
2/28/1999,4.1,4.1
1/31/1999,3.7,3.7
