date,eur/usd,gbp/usd,usd/jpy,usd/chf,usd_index,wti_crude,nasdaq,cac_40,gold_usd,fed_rate,euro_libor,us_unemp,eu_unemp,us_retail,eu_retail,us_core_cpi,Year
2010-05-31,1.2534857142857143,1.4656380952380952,91.88095238095238,1.1326238095238097,85.41904761904762,74.0442857142857,2314.6242857142856,3561.727619047619,1206.5747619047618,0.25,0.6290476190476193,9.6,10.3,5.9,0.8,0.9,2010
2010-06-30,1.221177272727273,1.4757863636363633,90.80681818181816,1.1263500000000002,86.57545454545453,75.40454545454544,2235.229545454546,3557.954090909091,1233.9827272727273,0.25,0.66,9.4,10.3,4.2,1.0,0.9,2010
2010-07-31,1.2803227272727271,1.5302045454545452,87.5559090909091,1.0531181818181818,83.14045454545455,76.18272727272728,2204.983181818181,3539.2963636363643,1192.9581818181814,0.25,0.785,9.4,10.2,4.1,0.4,0.9,2010
2010-08-31,1.289772727272727,1.5652272727272731,85.3709090909091,1.0392818181818184,82.14954545454547,76.66681818181819,2205.281363636364,3616.85,1217.8731818181818,0.25,0.8299999999999997,9.5,10.2,2.9,1.4,0.9,2010
2010-09-30,1.3092818181818178,1.5574636363636365,84.37636363636362,1.0010863636363636,81.08045454545454,75.48227272727273,2294.28,3723.548181818183,1272.3368181818182,0.25,0.8277272727272728,9.5,10.2,6.1,0.7,0.8,2010
2010-10-31,1.3900095238095238,1.5857285714285714,81.7942857142857,0.9687619047619048,77.46047619047621,81.9747619047619,2441.2957142857144,3799.4295238095237,1344.8061904761905,0.25,0.9352380952380952,9.4,10.2,6.4,0.7,0.6,2010
2010-11-30,1.3640863636363636,1.595218181818182,82.57636363636362,0.9851772727272724,78.44272727272727,84.28954545454545,2531.151818181818,3818.372272727273,1371.8954545454546,0.25,0.9827272727272726,9.8,10.1,6.7,1.6,0.8,2010
2010-12-31,1.322695652173913,1.559852173913043,83.21565217391306,0.9670347826086956,80.06869565217391,89.30999999999997,2633.1130434782613,3848.534347826087,1392.7552173913045,0.25,0.9534782608695652,9.3,10.1,6.7,-0.5,0.8,2010
2011-01-31,1.337404761904762,1.5787857142857142,82.6195238095238,0.9566238095238094,79.15476190476191,89.6642857142857,2719.5247619047627,3960.7147619047614,1360.9452380952382,0.25,0.9533333333333333,9.1,10.1,7.4,0.4,1.0,2011
2011-02-28,1.366185,1.6137,82.57250000000002,0.9494,77.778,89.93449999999999,2782.1799999999994,4086.4025,1375.2815000000005,0.25,1.0375,9.0,10.0,8.1,0.9,1.1,2011
2011-03-31,1.401891304347826,1.6159391304347832,81.64347826086956,0.9186565217391304,76.28869565217391,102.98130434782608,2722.289130434783,3941.634782608695,1422.8969565217394,0.25,1.126521739130435,9.0,10.0,6.7,-1.5,1.2,2011
2011-04-30,1.4472666666666665,1.6385666666666665,83.17190476190474,0.8964380952380955,74.69,110.1452380952381,2798.4433333333336,4022.662857142856,1485.3542857142859,0.25,1.2761904761904759,9.1,10.0,6.6,0.6,1.3,2011
2011-05-31,1.4325409090909091,1.6340136363636366,81.145,0.8734272727272728,74.94272727272728,101.41772727272725,2815.995000000001,3998.641818181818,1512.6036363636365,0.25,1.376363636363636,9.0,10.0,7.4,-1.6,1.5,2011
2011-06-30,1.4400772727272726,1.6218863636363636,80.47090909090909,0.8400136363636364,74.69409090909092,96.2886363636364,2687.7627272727273,3853.320909090909,1528.5627272727274,0.25,1.4336363636363634,9.1,10.0,8.2,-0.9,1.6,2011
2011-07-31,1.4293857142857145,1.6154190476190475,79.27,0.8220666666666667,74.73428571428572,97.31904761904762,2811.299047619047,3817.877619047619,1574.507142857143,0.25,1.5428571428571427,9.0,10.2,8.0,-0.3,1.8,2011
2011-08-31,1.433882608695652,1.635882608695652,77.04217391304348,0.7808,74.23826086956522,86.3408695652174,2504.623043478261,3201.85,1763.9269565217396,0.25,1.5008695652173911,9.0,10.2,7.6,0.0,2.0,2011
2011-09-30,1.3752363636363636,1.577309090909091,76.86136363636362,0.8735772727272729,76.91545454545455,85.62863636363637,2521.849545454546,2983.1059090909102,1772.0009090909093,0.25,1.4845454545454542,9.0,10.4,7.9,-1.2,2.0,2011
2011-10-31,1.3727714285714288,1.5773095238095243,76.67857142857143,0.896342857142857,77.1557142857143,86.42809523809522,2594.781904761905,3148.3885714285716,1671.1866666666665,0.25,1.5095238095238102,8.8,10.5,7.3,-0.7,2.1,2011
2011-11-30,1.3554363636363638,1.5800318181818185,77.53500000000003,0.908331818181818,77.95727272727272,97.145,2598.7990909090922,3033.0036363636373,1739.4954545454543,0.25,1.431818181818182,8.6,10.6,6.6,-1.4,2.2,2011
2011-12-31,1.3149045454545454,1.5589,77.83863636363638,0.9335090909090908,79.62954545454545,98.70136363636362,2602.739545454546,3092.443636363637,1638.6963636363641,0.25,1.3554545454545452,8.5,10.7,6.1,-1.7,2.2,2011
2012-01-31,1.2911545454545452,1.5524,76.93318181818181,0.9376500000000004,80.33363636363636,100.45636363636366,2738.759090909091,3250.6131818181825,1657.144545454545,0.25,1.161818181818182,8.3,10.8,6.4,-0.7,2.3,2012
2012-02-29,1.3237190476190477,1.5804857142857145,78.60285714285716,0.9119333333333332,78.95285714285713,102.42476190476187,2929.913333333333,3420.356666666666,1741.6333333333334,0.25,0.9752380952380956,8.3,10.9,6.7,-2.2,2.2,2012
2012-03-31,1.3213409090909092,1.5831545454545457,82.54363636363638,0.9128454545454544,79.55909090909091,106.20499999999998,3035.915909090909,3490.014090909091,1676.6604545454547,0.25,0.7631818181818182,8.2,11.1,6.2,0.0,2.3,2012
2012-04-30,1.316447619047619,1.6006619047619048,81.27476190476189,0.9131571428571428,79.43,103.3038095238095,3035.6719047619044,3245.836190476191,1649.9238095238095,0.25,0.6590476190476192,8.2,11.2,5.0,-3.2,2.3,2012
2012-05-31,1.2787999999999995,1.5907913043478263,79.67782608695653,0.9396782608695652,80.98782608695652,94.54391304347828,2899.13,3090.5426086956513,1587.675217391304,0.25,0.6130434782608694,8.2,11.3,5.0,-0.5,2.3,2012
2012-06-30,1.2548095238095243,1.5560333333333336,79.35285714285716,0.9571428571428572,82.24619047619045,82.40523809523809,2850.353809523809,3055.889523809524,1600.5252380952381,0.25,0.5723809523809527,8.2,11.4,3.4,-0.7,2.2,2012
2012-07-31,1.2292818181818184,1.5598454545454543,78.97818181818184,0.97715,83.02272727272728,87.89909090909094,2922.658181818181,3199.5536363636365,1593.6704545454545,0.25,0.3822727272727273,8.2,11.5,3.8,-1.9,2.1,2012
2012-08-31,1.2403869565217391,1.5718304347826089,78.68217391304348,0.968417391304348,82.1595652173913,94.16086956521738,3032.666521739131,3425.151739130434,1630.2617391304345,0.25,0.2073913043478261,8.1,11.5,4.7,-0.8,1.9,2012
