date,eur/usd,gbp/usd,usd/jpy,usd/chf,usd_index,wti_crude,snp_500,dow_jones,nasdaq,euro_n100,cac_40,dax,gold_usd,brent_crude,fed_rate,euro_libor,us_unemp,eu_unemp,us_retail,eu_retail,us_indus,eu_indus,us_core_cpi,eu_core_cpi,us_cpi,eu_cpi
2006-09-30,1.2730809523809523,1.8858476190476199,117.1938095238095,1.244247619047619,85.56238095238096,64.11904761904763,1317.5885714285714,11530.291904761905,2221.165714285714,889.3585714285717,5157.848571428572,5901.002380952383,598.5947619047618,63.6395238095238,5.25,3.336190476190476,4.5,8.2,4.3,2.1,4.1,4.4,2.9,1.5,2.1,1.7
2006-10-31,1.2621772727272729,1.8765136363636363,118.62590909090909,1.259759090909091,86.34272727272726,59.13681818181818,1363.3845454545453,11963.115454545456,2330.1745454545453,921.4890909090908,5338.785,6161.296363636363,586.9931818181818,59.83863636363637,5.25,3.5036363636363643,4.4,8.1,4.1,2.1,2.7,3.9,2.7,1.5,1.3,1.6
2006-11-30,1.289195454545455,1.9124090909090912,117.30772727272725,1.2351954545454544,84.84954545454546,59.48636363636364,1389.1918181818185,12191.59954545455,2411.043636363637,936.4,5414.505000000001,6368.680909090909,628.2045454545455,59.86136363636364,5.25,3.597727272727272,4.5,8.1,3.5,2.5,1.6,3.2,2.6,1.5,2.0,1.9
2006-12-31,1.3199142857142856,1.9629333333333332,117.45714285714283,1.2106190476190473,83.37857142857143,62.03952380952379,1416.442857142857,12375.980476190476,2431.0319047619046,947.275238095238,5456.867619047618,6503.664285714286,628.511904761905,62.28619047619048,5.25,3.6871428571428573,4.4,7.9,4.9,2.6,2.1,5.2,2.6,1.6,2.5,1.9
2007-01-31,1.2998869565217392,1.9588652173913044,120.39869565217391,1.2425434782608693,84.73695652173912,54.79913043478261,1423.8400000000001,12510.443478260868,2452.514782608695,971.3965217391304,5588.322173913042,6692.043043478262,631.2869565217392,54.83347826086957,5.25,3.751304347826087,4.6,7.9,1.6,1.8,1.5,4.0,2.7,1.7,2.1,1.8
2007-02-28,1.3087900000000003,1.9585300000000003,120.439,1.2384700000000002,84.3885,59.322,1445.539,12638.282000000003,2481.523,989.308,5684.217,6913.125,665.2465000000001,58.803999999999995,5.25,3.8179999999999987,4.5,7.8,2.7,2.3,2.5,4.6,2.7,1.9,2.4,1.8
2007-03-31,1.324940909090909,1.947763636363636,117.31318181818182,1.21775,83.48409090909091,60.74045454545455,1406.9522727272729,12268.533636363636,2401.4909090909086,964.0099999999999,5495.4059090909095,6705.958636363636,654.4568181818181,62.45499999999999,5.25,3.8936363636363636,4.4,7.7,3.2,3.3,2.5,4.6,2.5,1.9,2.8,1.9
2007-04-30,1.3513142857142861,1.9878000000000005,118.99904761904764,1.2127761904761905,82.19000000000001,63.91571428571429,1462.7409523809522,12745.537142857142,2498.120952380952,1022.3385714285714,5825.561904761905,7230.56857142857,679.7538095238095,67.6214285714286,5.25,3.9742857142857146,4.5,7.5,2.4,2.5,2.8,3.1,2.3,1.9,2.6,1.9
2007-05-31,1.3508739130434781,1.983373913043478,120.84956521739129,1.2219521739130434,82.1195652173913,63.51434782608696,1511.4399999999998,13412.083478260874,2562.572173913043,1052.879565217391,6051.130000000001,7585.1460869565235,667.5630434782609,67.8604347826087,5.25,4.07,4.4,7.5,4.1,0.9,2.9,3.7,2.2,1.9,2.7,1.9
2007-06-30,1.3424190476190474,1.9873714285714281,122.66285714285716,1.2328285714285714,82.46714285714285,67.52952380952381,1514.4895238095237,13480.212380952382,2595.3961904761904,1056.1142857142856,6014.92619047619,7874.479047619047,655.4519047619048,70.53857142857143,5.25,4.147619047619047,4.6,7.5,2.8,1.8,2.6,3.4,2.2,1.9,2.7,1.9
