 Date,DAX_EC Open,DAX_EC Low,DAX_EC High,DAX_EC Close,DAX_EC Adj. Close,DAX_EC SMA (200D),DAX_EC SMA (50D)
8/1/2019,"12,134.71","12,129.33","12,254.03","12,253.15","12,253.15","11,642.90","12,248.42"
7/31/2019,"12,149.09","12,139.03","12,226.49","12,189.04","12,189.04","11,639.71","12,242.41"
7/30/2019,"12,398.24","12,115.28","12,404.51","12,147.24","12,147.24","11,636.38","12,242.00"
7/29/2019,"12,398.29","12,387.58","12,473.97","12,417.47","12,417.47","11,633.34","12,241.93"
7/26/2019,"12,363.86","12,356.15","12,428.05","12,419.90","12,419.90","11,629.82","12,234.40"
7/25/2019,"12,576.02","12,299.10","12,599.93","12,362.10","12,362.10","11,627.60","12,230.79"
7/24/2019,"12,510.52","12,476.55","12,550.34","12,522.89","12,522.89","11,625.53","12,229.75"
7/23/2019,"12,384.66","12,369.19","12,531.16","12,490.74","12,490.74","11,623.47","12,221.28"
7/22/2019,"12,243.58","12,236.70","12,346.02","12,289.40","12,289.40","11,622.24","12,211.30"
7/19/2019,"12,302.64","12,211.67","12,340.11","12,260.07","12,260.07","11,622.23","12,203.05"
7/18/2019,"12,194.33","12,172.59","12,296.30","12,227.85","12,227.85","11,622.63","12,199.04"
7/17/2019,"12,429.87","12,324.33","12,453.33","12,341.03","12,341.03","11,622.72","12,193.96"
7/16/2019,"12,392.19","12,366.97","12,465.19","12,430.97","12,430.97","11,623.19","12,190.74"
7/15/2019,"12,346.59","12,301.08","12,434.14","12,387.34","12,387.34","11,622.97","12,183.98"
7/12/2019,"12,318.50","12,304.98","12,354.87","12,323.32","12,323.32","11,622.90","12,181.97"
7/11/2019,"12,401.02","12,307.34","12,417.93","12,332.12","12,332.12","11,623.04","12,183.76"
7/10/2019,"12,412.99","12,356.80","12,448.81","12,373.41","12,373.41","11,623.54","12,184.02"
7/9/2019,"12,436.97","12,364.16","12,477.58","12,436.55","12,436.55","11,623.30","12,183.44"
7/8/2019,"12,541.18","12,507.72","12,587.44","12,543.51","12,543.51","11,622.21","12,181.27"
7/5/2019,"12,632.12","12,522.11","12,632.12","12,568.53","12,568.53","11,620.28","12,176.70"
7/4/2019,"12,644.35","12,616.29","12,656.05","12,629.90","12,629.90","11,617.92","12,170.98"
7/3/2019,"12,548.30","12,545.79","12,631.81","12,616.24","12,616.24","11,615.40","12,164.65"
7/2/2019,"12,546.93","12,484.26","12,548.22","12,526.72","12,526.72","11,612.59","12,157.03"
7/1/2019,"12,616.34","12,519.30","12,619.68","12,521.38","12,521.38","11,610.12","12,150.94"
6/28/2019,"12,302.77","12,297.63","12,408.22","12,398.80","12,398.80","11,607.36","12,143.58"
