 Date,FDTR Close,FDTR Adj. Close
10/1/2008,2,2
9/2/2008,2,2
8/1/2008,2,2
7/1/2008,2,2
6/2/2008,2,2
5/1/2008,2,2
4/30/2008,2,2
4/1/2008,2.25,2.25
3/18/2008,2.25,2.25
3/3/2008,3,3
2/1/2008,3,3
1/30/2008,3,3
1/22/2008,3.5,3.5
1/2/2008,4.25,4.25
12/11/2007,4.25,4.25
12/3/2007,4.5,4.5
11/1/2007,4.5,4.5
10/31/2007,4.5,4.5
10/1/2007,4.75,4.75
9/18/2007,4.75,4.75
9/4/2007,5.25,5.25
8/1/2007,5.25,5.25
7/2/2007,5.25,5.25
6/1/2007,5.25,5.25
5/1/2007,5.25,5.25
4/2/2007,5.25,5.25
3/1/2007,5.25,5.25
2/1/2007,5.25,5.25
1/2/2007,5.25,5.25
12/1/2006,5.25,5.25
11/1/2006,5.25,5.25
10/2/2006,5.25,5.25
9/1/2006,5.25,5.25
8/1/2006,5.25,5.25
7/3/2006,5.25,5.25
6/29/2006,5.25,5.25
6/1/2006,5,5
5/10/2006,5,5
5/1/2006,4.75,4.75
4/3/2006,4.75,4.75
3/28/2006,4.75,4.75
3/1/2006,4.5,4.5
2/1/2006,4.5,4.5
1/31/2006,4.5,4.5
1/3/2006,4.25,4.25
12/13/2005,4.25,4.25
12/1/2005,4,4
11/1/2005,4,4
10/3/2005,3.75,3.75
9/20/2005,3.75,3.75
9/1/2005,3.5,3.5
8/9/2005,3.5,3.5
8/1/2005,3.25,3.25
7/1/2005,3.25,3.25
6/30/2005,3.25,3.25
6/1/2005,3,3
5/3/2005,3,3
5/2/2005,2.75,2.75
4/1/2005,2.75,2.75
3/22/2005,2.75,2.75
3/1/2005,2.5,2.5
2/2/2005,2.5,2.5
2/1/2005,2.25,2.25
1/3/2005,2.25,2.25
12/14/2004,2.25,2.25
12/1/2004,2,2
11/10/2004,2,2
11/1/2004,1.75,1.75
10/1/2004,1.75,1.75
9/21/2004,1.75,1.75
9/1/2004,1.5,1.5
8/10/2004,1.5,1.5
8/2/2004,1.25,1.25
7/1/2004,1.25,1.25
6/30/2004,1.25,1.25
6/1/2004,1,1
5/3/2004,1,1
4/1/2004,1,1
3/1/2004,1,1
2/2/2004,1,1
1/2/2004,1,1
12/1/2003,1,1
11/3/2003,1,1
10/1/2003,1,1
9/2/2003,1,1
8/1/2003,1,1
7/1/2003,1,1
6/25/2003,1,1
6/2/2003,1.25,1.25
5/1/2003,1.25,1.25
4/1/2003,1.25,1.25
3/3/2003,1.25,1.25
2/3/2003,1.25,1.25
1/2/2003,1.25,1.25
12/2/2002,1.25,1.25
11/6/2002,1.25,1.25
11/1/2002,1.75,1.75
10/1/2002,1.75,1.75
9/3/2002,1.75,1.75
8/1/2002,1.75,1.75
7/1/2002,1.75,1.75
6/3/2002,1.75,1.75
5/1/2002,1.75,1.75
4/1/2002,1.75,1.75
3/1/2002,1.75,1.75
2/1/2002,1.75,1.75
1/2/2002,1.75,1.75
12/11/2001,1.75,1.75
12/3/2001,2,2
11/6/2001,2,2
11/1/2001,2.5,2.5
10/2/2001,2.5,2.5
10/1/2001,3,3
9/17/2001,3,3
9/4/2001,3.5,3.5
8/21/2001,3.5,3.5
8/1/2001,3.75,3.75
7/2/2001,3.75,3.75
6/27/2001,3.75,3.75
6/1/2001,4,4
5/15/2001,4,4
5/1/2001,4.5,4.5
4/18/2001,4.5,4.5
4/2/2001,5,5
3/20/2001,5,5
3/1/2001,5.5,5.5
2/1/2001,5.5,5.5
1/31/2001,5.5,5.5
1/3/2001,6,6
1/1/2001,6.5,6.5
12/1/2000,6.5,6.5
11/1/2000,6.5,6.5
10/2/2000,6.5,6.5
9/1/2000,6.5,6.5
8/1/2000,6.5,6.5
7/3/2000,6.5,6.5
6/1/2000,6.5,6.5
5/16/2000,6.5,6.5
5/1/2000,6,6
4/3/2000,6,6
3/21/2000,6,6
3/1/2000,5.75,5.75
2/2/2000,5.75,5.75
2/1/2000,5.5,5.5
1/3/2000,5.5,5.5
12/1/1999,5.5,5.5
11/16/1999,5.5,5.5
11/1/1999,5.25,5.25
10/1/1999,5.25,5.25
9/1/1999,5.25,5.25
8/24/1999,5.25,5.25
8/2/1999,5,5
7/1/1999,5,5
6/30/1999,5,5
6/1/1999,4.75,4.75
5/3/1999,4.75,4.75
4/1/1999,4.75,4.75
3/1/1999,4.75,4.75
2/1/1999,4.75,4.75
1/4/1999,4.75,4.75
