 Date,SPX Open,SPX Low,SPX High,SPX Close,SPX Adj. Close
11/25/2015,"2,089.30","2,086.30","2,093.00","2,088.87","2,088.87"
11/24/2015,"2,084.42","2,070.29","2,094.12","2,089.14","2,089.14"
11/23/2015,"2,089.41","2,081.39","2,095.61","2,086.59","2,086.59"
11/20/2015,"2,082.82","2,082.82","2,097.06","2,089.17","2,089.17"
11/19/2015,"2,083.70","2,078.76","2,086.74","2,081.24","2,081.24"
11/18/2015,"2,051.99","2,051.99","2,085.31","2,083.58","2,083.58"
11/17/2015,"2,053.67","2,045.90","2,066.69","2,050.44","2,050.44"
11/16/2015,"2,022.08","2,019.39","2,053.22","2,053.19","2,053.19"
11/13/2015,"2,044.64","2,022.02","2,044.64","2,023.04","2,023.04"
11/12/2015,"2,072.29","2,045.66","2,072.29","2,045.97","2,045.97"
11/11/2015,"2,083.41","2,074.85","2,086.94","2,075.00","2,075.00"
11/10/2015,"2,077.19","2,069.91","2,083.67","2,081.72","2,081.72"
11/9/2015,"2,096.56","2,068.24","2,096.56","2,078.58","2,078.58"
11/6/2015,"2,098.60","2,083.74","2,101.91","2,099.20","2,099.20"
11/5/2015,"2,101.68","2,090.41","2,108.78","2,099.93","2,099.93"
11/4/2015,"2,110.60","2,096.98","2,114.59","2,102.31","2,102.31"
11/3/2015,"2,102.63","2,097.51","2,116.48","2,109.79","2,109.79"
11/2/2015,"2,080.76","2,080.76","2,106.20","2,104.05","2,104.05"
10/30/2015,"2,090.00","2,079.34","2,094.32","2,079.36","2,079.36"
10/29/2015,"2,088.35","2,082.63","2,092.52","2,089.41","2,089.41"
10/28/2015,"2,066.48","2,063.11","2,090.35","2,090.35","2,090.35"
10/27/2015,"2,068.75","2,058.84","2,070.37","2,065.89","2,065.89"
10/26/2015,"2,075.08","2,066.53","2,075.14","2,071.18","2,071.18"
10/23/2015,"2,058.19","2,058.19","2,079.74","2,075.15","2,075.15"
10/22/2015,"2,021.88","2,021.88","2,055.20","2,052.51","2,052.51"
10/21/2015,"2,033.47","2,017.22","2,037.97","2,018.94","2,018.94"
10/20/2015,"2,033.13","2,026.61","2,039.12","2,030.77","2,030.77"
10/19/2015,"2,031.73","2,022.31","2,034.45","2,033.66","2,033.66"
10/16/2015,"2,024.37","2,020.46","2,033.54","2,033.11","2,033.11"
10/15/2015,"1,996.47","1,996.47","2,024.15","2,023.86","2,023.86"
10/14/2015,"2,003.66","1,990.73","2,009.56","1,994.24","1,994.24"
10/13/2015,"2,015.00","2,001.78","2,022.34","2,003.69","2,003.69"
10/12/2015,"2,015.65","2,010.55","2,018.66","2,017.46","2,017.46"
10/9/2015,"2,013.73","2,007.61","2,020.13","2,014.89","2,014.89"
10/8/2015,"1,994.01","1,987.53","2,016.50","2,013.43","2,013.43"
10/7/2015,"1,982.34","1,976.44","1,999.31","1,995.83","1,995.83"
10/6/2015,"1,986.63","1,971.99","1,991.62","1,979.92","1,979.92"
10/5/2015,"1,954.33","1,954.33","1,989.17","1,987.05","1,987.05"
10/2/2015,"1,921.77","1,893.70","1,951.36","1,951.36","1,951.36"
10/1/2015,"1,919.65","1,900.70","1,927.21","1,923.82","1,923.82"
