 Date,ECCPEMUY Close,ECCPEMUY Adj. Close
3/31/2008,3.6,3.6
2/29/2008,3.3,3.3
1/31/2008,3.2,3.2
12/31/2007,3.1,3.1
11/30/2007,3.1,3.1
10/31/2007,2.6,2.6
9/30/2007,2.1,2.1
8/31/2007,1.7,1.7
7/31/2007,1.8,1.8
6/30/2007,1.9,1.9
5/31/2007,1.9,1.9
4/30/2007,1.9,1.9
3/31/2007,1.9,1.9
2/28/2007,1.8,1.8
1/31/2007,1.8,1.8
12/31/2006,1.9,1.9
11/30/2006,1.9,1.9
10/31/2006,1.6,1.6
9/30/2006,1.7,1.7
8/31/2006,2.3,2.3
7/31/2006,2.4,2.4
6/30/2006,2.5,2.5
5/31/2006,2.5,2.5
4/30/2006,2.5,2.5
3/31/2006,2.2,2.2
2/28/2006,2.3,2.3
1/31/2006,2.4,2.4
12/31/2005,2.2,2.2
11/30/2005,2.3,2.3
10/31/2005,2.5,2.5
9/30/2005,2.6,2.6
8/31/2005,2.2,2.2
7/31/2005,2.2,2.2
6/30/2005,2.1,2.1
5/31/2005,2,2
4/30/2005,2.1,2.1
3/31/2005,2.1,2.1
2/28/2005,2.1,2.1
1/31/2005,1.9,1.9
12/31/2004,2.4,2.4
11/30/2004,2.2,2.2
10/31/2004,2.4,2.4
9/30/2004,2.1,2.1
8/31/2004,2.3,2.3
7/31/2004,2.3,2.3
6/30/2004,2.4,2.4
5/31/2004,2.5,2.5
4/30/2004,2,2
3/31/2004,1.7,1.7
2/29/2004,1.6,1.6
1/31/2004,1.9,1.9
12/31/2003,2,2
11/30/2003,2.2,2.2
10/31/2003,2,2
9/30/2003,2.2,2.2
8/31/2003,2.1,2.1
7/31/2003,1.9,1.9
6/30/2003,1.9,1.9
5/31/2003,1.8,1.8
4/30/2003,2.1,2.1
3/31/2003,2.5,2.5
2/28/2003,2.4,2.4
1/31/2003,2.1,2.1
12/31/2002,2.3,2.3
11/30/2002,2.3,2.3
10/31/2002,2.3,2.3
9/30/2002,2.1,2.1
8/31/2002,2.1,2.1
7/31/2002,2,2
6/30/2002,1.9,1.9
5/31/2002,2,2
4/30/2002,2.3,2.3
3/31/2002,2.5,2.5
2/28/2002,2.5,2.5
1/31/2002,2.6,2.6
12/31/2001,2,2
11/30/2001,2,2
10/31/2001,2.2,2.2
9/30/2001,2.2,2.2
8/31/2001,2.3,2.3
7/31/2001,2.6,2.6
6/30/2001,2.8,2.8
5/31/2001,3.1,3.1
4/30/2001,2.7,2.7
3/31/2001,2.2,2.2
2/28/2001,1.9,1.9
1/31/2001,2,2
12/31/2000,2.5,2.5
11/30/2000,2.5,2.5
10/31/2000,2.4,2.4
9/30/2000,2.5,2.5
8/31/2000,2,2
7/31/2000,2,2
6/30/2000,2.1,2.1
5/31/2000,1.7,1.7
4/30/2000,1.7,1.7
3/31/2000,1.9,1.9
2/29/2000,1.9,1.9
1/31/2000,1.9,1.9
12/31/1999,1.7,1.7
11/30/1999,1.5,1.5
10/31/1999,1.4,1.4
9/30/1999,1.2,1.2
8/31/1999,1.2,1.2
7/31/1999,1.1,1.1
6/30/1999,0.9,0.9
5/31/1999,1,1
4/30/1999,1.1,1.1
3/31/1999,1,1
2/28/1999,0.8,0.8
1/31/1999,0.8,0.8
