 Date,INDU_EC Open,INDU_EC Low,INDU_EC High,INDU_EC Close,INDU_EC Adj. Close
12/7/2007,"13,618.27","13,601.36","13,668.10","13,625.58","13,625.58"
12/6/2007,"13,445.85","13,426.18","13,632.90","13,619.89","13,619.89"
12/5/2007,"13,244.01","13,244.01","13,460.24","13,444.96","13,444.96"
12/4/2007,"13,311.24","13,237.59","13,316.28","13,248.73","13,248.73"
12/3/2007,"13,368.22","13,296.28","13,407.24","13,314.57","13,314.57"
11/30/2007,"13,314.25","13,281.65","13,466.99","13,371.72","13,371.72"
11/29/2007,"13,287.91","13,214.75","13,346.27","13,311.73","13,311.73"
11/28/2007,"12,958.04","12,958.04","13,325.87","13,289.45","13,289.45"
11/27/2007,"12,744.78","12,744.78","12,991.85","12,958.44","12,958.44"
11/26/2007,"12,979.99","12,724.09","13,037.30","12,743.44","12,743.44"
11/23/2007,"12,796.07","12,796.07","12,980.88","12,980.88","12,980.88"
11/22/2007,"12,799.04","12,799.04","12,799.04","12,799.04","12,799.04"
11/21/2007,"13,006.65","12,786.03","13,007.71","12,799.04","12,799.04"
11/20/2007,"12,955.92","12,839.68","13,107.37","13,010.14","13,010.14"
11/19/2007,"13,176.30","12,937.63","13,176.30","12,958.44","12,958.44"
11/16/2007,"13,109.48","13,050.55","13,211.17","13,176.79","13,176.79"
11/15/2007,"13,230.68","13,055.83","13,262.14","13,110.05","13,110.05"
11/14/2007,"13,305.47","13,197.84","13,367.17","13,231.01","13,231.01"
11/13/2007,"12,975.11","12,975.11","13,319.45","13,307.09","13,307.09"
11/12/2007,"13,039.16","12,981.04","13,162.64","12,987.55","12,987.55"
11/9/2007,"13,261.17","13,017.30","13,262.14","13,042.74","13,042.74"
11/8/2007,"13,299.70","13,079.48","13,354.00","13,266.29","13,266.29"
11/7/2007,"13,646.72","13,285.63","13,647.29","13,300.02","13,300.02"
11/6/2007,"13,542.34","13,511.86","13,669.72","13,660.94","13,660.94"
11/5/2007,"13,592.58","13,446.91","13,618.27","13,543.40","13,543.40"
11/2/2007,"13,569.90","13,446.02","13,632.90","13,595.10","13,595.10"
11/1/2007,"13,924.16","13,548.93","13,924.16","13,567.87","13,567.87"
10/31/2007,"13,792.06","13,767.68","13,962.53","13,930.01","13,930.01"
10/30/2007,"13,869.04","13,778.41","13,869.29","13,792.47","13,792.47"
10/29/2007,"13,807.35","13,805.31","13,901.40","13,870.26","13,870.26"
10/26/2007,"13,675.66","13,675.25","13,811.25","13,806.70","13,806.70"
10/25/2007,"13,677.85","13,547.63","13,741.26","13,671.92","13,671.92"
10/24/2007,"13,675.58","13,470.16","13,690.45","13,675.25","13,675.25"
10/23/2007,"13,568.93","13,540.88","13,684.60","13,676.23","13,676.23"
10/22/2007,"13,521.62","13,407.49","13,587.22","13,566.97","13,566.97"
10/19/2007,"13,888.47","13,511.94","13,888.47","13,522.02","13,522.02"
10/18/2007,"13,887.90","13,820.35","13,913.75","13,888.96","13,888.96"
10/17/2007,"13,920.66","13,774.67","14,012.84","13,892.54","13,892.54"
10/16/2007,"13,986.34","13,877.90","13,992.03","13,912.94","13,912.94"
10/15/2007,"14,092.43","13,904.32","14,118.52","13,984.80","13,984.80"
10/12/2007,"14,016.34","14,013.74","14,101.77","14,093.08","14,093.08"
10/11/2007,"14,079.10","13,950.25","14,198.10","14,015.12","14,015.12"
10/10/2007,"14,165.02","14,009.51","14,165.02","14,078.69","14,078.69"
10/9/2007,"14,043.73","14,034.39","14,166.97","14,164.53","14,164.53"
10/8/2007,"14,065.36","14,009.67","14,067.96","14,043.73","14,043.73"
10/5/2007,"13,969.07","13,968.83","14,124.54","14,066.01","14,066.01"
10/4/2007,"13,967.89","13,951.63","14,010.41","13,974.31","13,974.31"
10/3/2007,"14,038.86","13,947.73","14,038.94","13,968.05","13,968.05"
10/2/2007,"14,087.14","14,012.11","14,107.47","14,047.31","14,047.31"
10/1/2007,"13,895.71","13,893.51","14,115.51","14,087.55","14,087.55"
9/28/2007,"13,912.94","13,850.27","13,924.81","13,895.63","13,895.63"
9/27/2007,"13,879.53","13,868.15","13,920.42","13,912.94","13,912.94"
9/26/2007,"13,779.30","13,779.30","13,915.79","13,878.15","13,878.15"
9/25/2007,"13,757.84","13,696.31","13,787.19","13,778.65","13,778.65"
9/24/2007,"13,821.57","13,750.93","13,874.41","13,759.06","13,759.06"
9/21/2007,"13,768.33","13,768.25","13,877.17","13,820.19","13,820.19"
9/20/2007,"13,813.52","13,741.01","13,822.14","13,766.70","13,766.70"
9/19/2007,"13,740.61","13,739.88","13,867.50","13,815.56","13,815.56"
9/18/2007,"13,403.18","13,403.18","13,739.96","13,739.39","13,739.39"
9/17/2007,"13,441.95","13,362.37","13,451.54","13,403.42","13,403.42"
9/14/2007,"13,421.39","13,323.84","13,459.75","13,442.52","13,442.52"
9/13/2007,"13,292.38","13,292.38","13,469.27","13,424.88","13,424.88"
9/12/2007,"13,298.31","13,263.03","13,360.01","13,291.65","13,291.65"
9/11/2007,"13,129.40","13,129.15","13,325.95","13,308.39","13,308.39"
9/10/2007,"13,116.39","13,021.93","13,207.19","13,127.85","13,127.85"
9/7/2007,"13,360.74","13,082.17","13,360.83","13,113.38","13,113.38"
9/6/2007,"13,306.44","13,274.82","13,398.71","13,363.35","13,363.35"
9/5/2007,"13,442.85","13,248.24","13,443.17","13,305.47","13,305.47"
9/4/2007,"13,358.39","13,317.50","13,494.06","13,448.86","13,448.86"
9/3/2007,"13,357.74","13,357.74","13,357.74","13,357.74","13,357.74"
8/31/2007,"13,240.84","13,240.84","13,428.95","13,357.74","13,357.74"
8/30/2007,"13,287.91","13,184.59","13,315.14","13,238.73","13,238.73"
8/29/2007,"13,043.07","13,043.07","13,293.44","13,289.29","13,289.29"
8/28/2007,"13,318.43","13,034.78","13,318.60","13,041.85","13,041.85"
8/27/2007,"13,377.16","13,305.55","13,387.33","13,322.13","13,322.13"
8/24/2007,"13,231.78","13,208.65","13,381.47","13,378.87","13,378.87"
8/23/2007,"13,237.27","13,169.15","13,298.64","13,235.88","13,235.88"
8/22/2007,"13,088.26","13,088.26","13,248.08","13,236.13","13,236.13"
8/21/2007,"13,120.05","13,052.17","13,178.33","13,090.86","13,090.86"
8/20/2007,"13,078.51","12,982.75","13,181.66","13,121.35","13,121.35"
8/17/2007,"12,848.05","12,847.81","13,167.68","13,079.08","13,079.08"
8/16/2007,"12,859.52","12,517.94","12,885.85","12,845.78","12,845.78"
8/15/2007,"13,021.93","12,834.24","13,119.32","12,861.47","12,861.47"
8/14/2007,"13,235.72","13,018.27","13,269.78","13,028.92","13,028.92"
8/13/2007,"13,238.24","13,219.46","13,338.15","13,236.53","13,236.53"
8/10/2007,"13,270.59","13,057.86","13,306.52","13,239.54","13,239.54"
8/9/2007,"13,652.33","13,270.68","13,652.33","13,270.68","13,270.68"
8/8/2007,"13,497.23","13,484.79","13,695.82","13,657.86","13,657.86"
8/7/2007,"13,467.72","13,347.17","13,608.11","13,504.30","13,504.30"
8/6/2007,"13,183.13","13,158.58","13,470.16","13,468.78","13,468.78"
8/3/2007,"13,462.25","13,175.24","13,471.79","13,181.91","13,181.91"
8/2/2007,"13,357.82","13,350.42","13,503.33","13,463.33","13,463.33"
8/1/2007,"13,211.09","13,132.65","13,393.02","13,362.37","13,362.37"
7/31/2007,"13,360.66","13,199.79","13,498.53","13,211.99","13,211.99"
7/30/2007,"13,266.21","13,219.14","13,397.73","13,358.31","13,358.31"
7/27/2007,"13,472.68","13,265.47","13,520.80","13,265.47","13,265.47"
7/26/2007,"13,783.12","13,335.30","13,783.45","13,473.57","13,473.57"
7/25/2007,"13,718.25","13,674.84","13,822.22","13,785.07","13,785.07"
7/24/2007,"13,940.90","13,701.59","13,940.99","13,716.95","13,716.95"
7/23/2007,"13,851.73","13,851.73","13,973.99","13,943.42","13,943.42"
7/20/2007,"14,000.73","13,797.67","14,009.27","13,851.08","13,851.08"
7/19/2007,"13,918.79","13,918.79","14,015.85","14,000.41","14,000.41"
7/18/2007,"13,955.05","13,823.60","13,965.94","13,918.22","13,918.22"
7/17/2007,"13,951.96","13,942.85","14,021.95","13,971.55","13,971.55"
7/16/2007,"13,907.09","13,894.98","13,989.11","13,950.98","13,950.98"
7/13/2007,"13,859.86","13,845.88","13,932.29","13,907.25","13,907.25"
7/12/2007,"13,579.33","13,579.17","13,869.94","13,861.73","13,861.73"
7/11/2007,"13,500.40","13,474.79","13,590.95","13,577.87","13,577.87"
7/10/2007,"13,648.59","13,496.17","13,649.24","13,501.70","13,501.70"
7/9/2007,"13,612.66","13,609.00","13,670.46","13,649.97","13,649.97"
7/6/2007,"13,559.01","13,537.95","13,633.63","13,611.68","13,611.68"
7/5/2007,"13,576.24","13,513.49","13,580.06","13,565.84","13,565.84"
7/4/2007,"13,577.30","13,577.30","13,577.30","13,577.30","13,577.30"
7/3/2007,"13,531.53","13,531.53","13,591.69","13,577.30","13,577.30"
7/2/2007,"13,409.60","13,409.52","13,537.87","13,535.43","13,535.43"
6/29/2007,"13,422.61","13,314.00","13,524.54","13,408.62","13,408.62"
6/28/2007,"13,427.48","13,389.28","13,498.29","13,422.28","13,422.28"
6/27/2007,"13,336.93","13,259.86","13,433.01","13,427.73","13,427.73"
6/26/2007,"13,352.37","13,308.72","13,452.52","13,337.66","13,337.66"
6/25/2007,"13,360.09","13,299.78","13,488.77","13,352.05","13,352.05"
6/22/2007,"13,545.03","13,359.69","13,545.11","13,360.26","13,360.26"
