 Date,GBPUSD Open,GBPUSD Low,GBPUSD High,GBPUSD Close,GBPUSD Adj. Close
8/1/2019,1.2157,1.208,1.2168,1.213,1.213
7/31/2019,1.2152,1.2139,1.2247,1.216,1.216
7/30/2019,1.2216,1.2122,1.2226,1.215,1.215
7/29/2019,1.2377,1.2214,1.2384,1.2218,1.2218
7/26/2019,1.2459,1.2377,1.2459,1.2383,1.2383
7/25/2019,1.2482,1.2437,1.2517,1.2457,1.2457
7/24/2019,1.2449,1.2429,1.2519,1.2484,1.2484
7/23/2019,1.2475,1.2418,1.2481,1.244,1.244
7/22/2019,1.249,1.2456,1.2514,1.2475,1.2475
7/19/2019,1.255,1.2481,1.2555,1.25,1.25
7/18/2019,1.2432,1.2427,1.2557,1.2547,1.2547
7/17/2019,1.2409,1.2383,1.2455,1.2433,1.2433
7/16/2019,1.2516,1.2397,1.2521,1.2406,1.2406
7/15/2019,1.2552,1.2511,1.2578,1.2516,1.2516
7/12/2019,1.2522,1.2521,1.2577,1.2576,1.2576
7/11/2019,1.2494,1.2494,1.257,1.252,1.252
7/10/2019,1.2467,1.2444,1.2521,1.2503,1.2503
7/9/2019,1.2517,1.2442,1.2523,1.2463,1.2463
7/8/2019,1.2525,1.25,1.2538,1.2514,1.2514
7/5/2019,1.2582,1.2483,1.2588,1.2525,1.2525
7/4/2019,1.2573,1.2569,1.2591,1.258,1.258
7/3/2019,1.2592,1.2558,1.26,1.2572,1.2572
7/2/2019,1.264,1.2587,1.2648,1.2594,1.2594
7/1/2019,1.2703,1.2633,1.2706,1.2641,1.2641
6/28/2019,1.2677,1.266,1.2734,1.2693,1.2693
6/27/2019,1.269,1.2663,1.2724,1.2672,1.2672
6/26/2019,1.2693,1.2664,1.2706,1.269,1.269
6/25/2019,1.2742,1.2672,1.2782,1.2689,1.2689
6/24/2019,1.2736,1.271,1.2766,1.274,1.274
6/21/2019,1.2699,1.2644,1.2746,1.2745,1.2745
6/20/2019,1.2638,1.2633,1.2726,1.2702,1.2702
6/19/2019,1.2558,1.2543,1.2671,1.264,1.264
6/18/2019,1.2535,1.2508,1.2564,1.2558,1.2558
6/17/2019,1.2582,1.2533,1.2604,1.2534,1.2534
6/14/2019,1.2674,1.258,1.2682,1.2589,1.2589
6/13/2019,1.2686,1.2664,1.2706,1.2672,1.2672
6/12/2019,1.272,1.2683,1.2757,1.2689,1.2689
6/11/2019,1.2685,1.2672,1.2731,1.2725,1.2725
6/10/2019,1.2738,1.2655,1.2741,1.2685,1.2685
6/7/2019,1.2706,1.2689,1.2762,1.2737,1.2737
6/6/2019,1.2693,1.2669,1.274,1.2695,1.2695
6/5/2019,1.2698,1.2681,1.2743,1.2682,1.2682
6/4/2019,1.2664,1.2643,1.2714,1.2697,1.2697
6/3/2019,1.2631,1.2612,1.2674,1.2664,1.2664
5/31/2019,1.2612,1.2562,1.2643,1.2629,1.2629
5/30/2019,1.2624,1.2581,1.2639,1.2607,1.2607
5/29/2019,1.2654,1.2613,1.267,1.2625,1.2625
5/28/2019,1.2678,1.2651,1.2699,1.2652,1.2652
5/27/2019,1.2727,1.2668,1.2747,1.268,1.268
5/24/2019,1.2656,1.2649,1.273,1.2712,1.2712
5/23/2019,1.2663,1.2606,1.2682,1.2658,1.2658
5/22/2019,1.2708,1.2626,1.2719,1.2666,1.2666
5/21/2019,1.2725,1.2686,1.2803,1.2705,1.2705
5/20/2019,1.2738,1.2716,1.2757,1.2723,1.2723
5/17/2019,1.2798,1.2719,1.2799,1.2719,1.2719
5/16/2019,1.2846,1.2789,1.2853,1.2797,1.2797
5/15/2019,1.2905,1.2827,1.2922,1.2842,1.2842
5/14/2019,1.2957,1.2904,1.297,1.2905,1.2905
5/13/2019,1.3001,1.2943,1.3041,1.2959,1.2959
5/10/2019,1.3013,1.2993,1.3047,1.3008,1.3008
5/9/2019,1.3009,1.297,1.3036,1.3023,1.3023
5/8/2019,1.3075,1.2991,1.308,1.3007,1.3007
5/7/2019,1.3098,1.3041,1.3131,1.3074,1.3074
5/6/2019,1.3145,1.3082,1.3171,1.3097,1.3097
5/3/2019,1.3026,1.2991,1.3176,1.3168,1.3168
5/2/2019,1.305,1.3018,1.308,1.3029,1.3029
5/1/2019,1.3032,1.3032,1.3101,1.3049,1.3049
4/30/2019,1.2932,1.2927,1.3048,1.3036,1.3036
4/29/2019,1.2923,1.2906,1.2946,1.2936,1.2936
4/26/2019,1.2893,1.2876,1.2943,1.2918,1.2918
4/25/2019,1.2901,1.2867,1.2916,1.2899,1.2899
4/24/2019,1.2937,1.2891,1.2961,1.2899,1.2899
4/23/2019,1.2982,1.293,1.3016,1.2938,1.2938
4/22/2019,1.2998,1.2976,1.2999,1.2982,1.2982
4/19/2019,1.2991,1.2984,1.3007,1.2992,1.2992
4/18/2019,1.3043,1.2981,1.3052,1.2991,1.2991
4/17/2019,1.3051,1.303,1.3067,1.3043,1.3043
4/16/2019,1.3102,1.3044,1.3102,1.3048,1.3048
4/15/2019,1.308,1.307,1.3118,1.3098,1.3098
4/12/2019,1.3058,1.3051,1.3131,1.3072,1.3072
4/11/2019,1.3096,1.3051,1.3108,1.3055,1.3055
4/10/2019,1.3048,1.3045,1.312,1.3091,1.3091
4/9/2019,1.3058,1.3031,1.3116,1.3054,1.3054
4/8/2019,1.3034,1.3027,1.3074,1.3061,1.3061
4/5/2019,1.3079,1.2989,1.3119,1.3034,1.3034
4/4/2019,1.3159,1.3061,1.319,1.3079,1.3079
4/3/2019,1.3126,1.3123,1.3196,1.3159,1.3159
4/2/2019,1.3102,1.3016,1.3148,1.3134,1.3134
4/1/2019,1.304,1.301,1.315,1.3103,1.3103
3/29/2019,1.3051,1.2979,1.3128,1.3025,1.3025
3/28/2019,1.319,1.3038,1.3213,1.3045,1.3045
3/27/2019,1.3204,1.3167,1.3269,1.3189,1.3189
3/26/2019,1.3192,1.3165,1.3261,1.3211,1.3211
3/25/2019,1.3217,1.3163,1.3245,1.3198,1.3198
3/22/2019,1.312,1.3083,1.3222,1.3207,1.3207
3/21/2019,1.3198,1.3007,1.3227,1.3109,1.3109
3/20/2019,1.3266,1.315,1.3273,1.3195,1.3195
3/19/2019,1.3256,1.3242,1.3308,1.3268,1.3268
3/18/2019,1.3297,1.3186,1.33,1.3253,1.3253
3/15/2019,1.3231,1.3206,1.33,1.3287,1.3287
3/14/2019,1.3329,1.3211,1.3333,1.3241,1.3241
3/13/2019,1.3072,1.3062,1.3371,1.3338,1.3338
3/12/2019,1.3149,1.301,1.3279,1.3075,1.3075
3/11/2019,1.2969,1.2962,1.317,1.3149,1.3149
3/8/2019,1.3085,1.2992,1.3108,1.3012,1.3012
3/7/2019,1.317,1.3071,1.3185,1.3073,1.3073
3/6/2019,1.3178,1.3126,1.3178,1.3177,1.3177
3/5/2019,1.3179,1.3102,1.3195,1.3176,1.3176
3/4/2019,1.3248,1.3167,1.3253,1.3176,1.3176
3/1/2019,1.3262,1.3172,1.3286,1.3203,1.3203
2/28/2019,1.3309,1.3254,1.3319,1.3262,1.3262
2/27/2019,1.3253,1.3234,1.3349,1.3306,1.3306
2/26/2019,1.3096,1.3096,1.3288,1.3255,1.3255
2/25/2019,1.3061,1.3051,1.3112,1.3102,1.3102
2/22/2019,1.3041,1.297,1.3076,1.3052,1.3052
2/21/2019,1.305,1.3027,1.3094,1.3037,1.3037
2/20/2019,1.3063,1.3013,1.3104,1.3056,1.3056
2/19/2019,1.2923,1.2896,1.3073,1.3066,1.3066
2/18/2019,1.2912,1.2893,1.2938,1.2929,1.2929
2/15/2019,1.2803,1.2788,1.2895,1.2892,1.2892
2/14/2019,1.2846,1.2773,1.2874,1.2792,1.2792
2/13/2019,1.2894,1.2848,1.2952,1.2848,1.2848
2/12/2019,1.2849,1.2835,1.2909,1.2895,1.2895
2/11/2019,1.2933,1.2847,1.2938,1.2862,1.2862
2/8/2019,1.2953,1.2922,1.2975,1.2935,1.2935
2/7/2019,1.2934,1.286,1.2994,1.2949,1.2949
2/6/2019,1.295,1.2928,1.2978,1.2936,1.2936
2/5/2019,1.3037,1.2925,1.3049,1.2956,1.2956
2/4/2019,1.3069,1.3031,1.3103,1.3038,1.3038
2/1/2019,1.3105,1.3046,1.3114,1.3081,1.3081
1/31/2019,1.3117,1.3096,1.3159,1.3115,1.3115
1/30/2019,1.3066,1.3055,1.3144,1.3103,1.3103
1/29/2019,1.3153,1.3059,1.3197,1.3077,1.3077
1/28/2019,1.3188,1.314,1.3212,1.3163,1.3163
1/25/2019,1.3066,1.3063,1.3213,1.3213,1.3213
1/24/2019,1.3068,1.3013,1.3094,1.3058,1.3058
1/23/2019,1.2951,1.2944,1.3078,1.3072,1.3072
1/22/2019,1.2892,1.2856,1.2975,1.2953,1.2953
1/21/2019,1.288,1.2832,1.291,1.2893,1.2893
1/18/2019,1.2986,1.2857,1.2993,1.2865,1.2865
1/17/2019,1.2885,1.2834,1.3,1.2988,1.2988
1/16/2019,1.2859,1.2826,1.2895,1.2881,1.2881
1/15/2019,1.2864,1.2695,1.2915,1.2884,1.2884
1/14/2019,1.2854,1.282,1.2927,1.2868,1.2868
1/11/2019,1.2747,1.2715,1.2865,1.2845,1.2845
1/10/2019,1.279,1.2729,1.2801,1.2746,1.2746
1/9/2019,1.2719,1.2712,1.2804,1.2803,1.2803
1/8/2019,1.2782,1.2708,1.2789,1.272,1.272
1/7/2019,1.2721,1.272,1.2786,1.277,1.277
1/4/2019,1.2628,1.2618,1.2745,1.2738,1.2738
1/3/2019,1.2603,1.2444,1.2647,1.2636,1.2636
1/2/2019,1.2744,1.2585,1.2773,1.2611,1.2611
12/31/2018,1.2698,1.2681,1.2811,1.2746,1.2746
12/28/2018,1.2644,1.2635,1.2706,1.2699,1.2699
12/27/2018,1.2633,1.2618,1.2671,1.2654,1.2654
12/26/2018,1.2674,1.2631,1.2719,1.2642,1.2642
12/25/2018,1.2704,1.2663,1.2712,1.2666,1.2666
12/24/2018,1.2658,1.2637,1.2735,1.2705,1.2705
12/19/2018,1.264,1.2608,1.2678,1.2615,1.2615
