 Date,UMRTEMU Close,UMRTEMU Adj. Close
6/30/2012,11.4,11.4
5/31/2012,11.3,11.3
4/30/2012,11.2,11.2
3/31/2012,11.1,11.1
2/29/2012,10.9,10.9
1/31/2012,10.8,10.8
12/31/2011,10.7,10.7
11/30/2011,10.6,10.6
10/31/2011,10.5,10.5
9/30/2011,10.4,10.4
8/31/2011,10.2,10.2
7/31/2011,10.2,10.2
6/30/2011,10,10
5/31/2011,10,10
4/30/2011,10,10
3/31/2011,10,10
2/28/2011,10,10
1/31/2011,10.1,10.1
12/31/2010,10.1,10.1
11/30/2010,10.1,10.1
10/31/2010,10.2,10.2
9/30/2010,10.2,10.2
8/31/2010,10.2,10.2
7/31/2010,10.2,10.2
6/30/2010,10.3,10.3
5/31/2010,10.3,10.3
4/30/2010,10.3,10.3
3/31/2010,10.2,10.2
2/28/2010,10.2,10.2
1/31/2010,10.2,10.2
12/31/2009,10.1,10.1
11/30/2009,10.1,10.1
10/31/2009,10,10
9/30/2009,10,10
8/31/2009,9.9,9.9
7/31/2009,9.8,9.8
6/30/2009,9.7,9.7
5/31/2009,9.6,9.6
4/30/2009,9.5,9.5
3/31/2009,9.3,9.3
2/28/2009,9,9
1/31/2009,8.7,8.7
12/31/2008,8.3,8.3
11/30/2008,8,8
10/31/2008,7.8,7.8
9/30/2008,7.7,7.7
8/31/2008,7.6,7.6
7/31/2008,7.5,7.5
6/30/2008,7.5,7.5
5/31/2008,7.4,7.4
4/30/2008,7.4,7.4
3/31/2008,7.3,7.3
2/29/2008,7.3,7.3
1/31/2008,7.3,7.3
12/31/2007,7.3,7.3
11/30/2007,7.3,7.3
10/31/2007,7.3,7.3
9/30/2007,7.4,7.4
8/31/2007,7.5,7.5
7/31/2007,7.5,7.5
6/30/2007,7.5,7.5
5/31/2007,7.5,7.5
4/30/2007,7.5,7.5
3/31/2007,7.7,7.7
2/28/2007,7.8,7.8
1/31/2007,7.9,7.9
12/31/2006,7.9,7.9
11/30/2006,8.1,8.1
10/31/2006,8.1,8.1
9/30/2006,8.2,8.2
8/31/2006,8.2,8.2
7/31/2006,8.3,8.3
6/30/2006,8.3,8.3
5/31/2006,8.5,8.5
4/30/2006,8.6,8.6
3/31/2006,8.7,8.7
2/28/2006,8.8,8.8
1/31/2006,8.8,8.8
12/31/2005,8.9,8.9
11/30/2005,8.9,8.9
10/31/2005,9,9
9/30/2005,9,9
8/31/2005,9,9
7/31/2005,9.1,9.1
6/30/2005,9.2,9.2
5/31/2005,9.2,9.2
4/30/2005,9.2,9.2
3/31/2005,9.2,9.2
2/28/2005,9.2,9.2
1/31/2005,9.2,9.2
12/31/2004,9.2,9.2
11/30/2004,9.3,9.3
10/31/2004,9.2,9.2
9/30/2004,9.3,9.3
8/31/2004,9.2,9.2
7/31/2004,9.2,9.2
6/30/2004,9.2,9.2
5/31/2004,9.3,9.3
4/30/2004,9.3,9.3
3/31/2004,9.3,9.3
2/29/2004,9.2,9.2
1/31/2004,9.2,9.2
12/31/2003,9.1,9.1
11/30/2003,9.1,9.1
10/31/2003,9.1,9.1
9/30/2003,9.1,9.1
8/31/2003,9.1,9.1
7/31/2003,9.1,9.1
6/30/2003,9.1,9.1
5/31/2003,9,9
4/30/2003,9,9
3/31/2003,9,9
2/28/2003,9,9
1/31/2003,9,9
12/31/2002,8.9,8.9
11/30/2002,8.9,8.9
10/31/2002,8.8,8.8
9/30/2002,8.8,8.8
8/31/2002,8.7,8.7
7/31/2002,8.7,8.7
6/30/2002,8.6,8.6
5/31/2002,8.6,8.6
4/30/2002,8.5,8.5
3/31/2002,8.5,8.5
2/28/2002,8.5,8.5
1/31/2002,8.5,8.5
12/31/2001,8.5,8.5
11/30/2001,8.5,8.5
10/31/2001,8.4,8.4
9/30/2001,8.4,8.4
8/31/2001,8.4,8.4
7/31/2001,8.4,8.4
6/30/2001,8.4,8.4
5/31/2001,8.4,8.4
4/30/2001,8.4,8.4
3/31/2001,8.4,8.4
2/28/2001,8.4,8.4
1/31/2001,8.5,8.5
12/31/2000,8.6,8.6
11/30/2000,8.7,8.7
10/31/2000,8.7,8.7
9/30/2000,8.8,8.8
8/31/2000,8.9,8.9
7/31/2000,8.9,8.9
6/30/2000,9,9
5/31/2000,9,9
4/30/2000,9.1,9.1
3/31/2000,9.2,9.2
2/29/2000,9.3,9.3
1/31/2000,9.4,9.4
12/31/1999,9.5,9.5
11/30/1999,9.5,9.5
10/31/1999,9.6,9.6
9/30/1999,9.7,9.7
8/31/1999,9.7,9.7
7/31/1999,9.8,9.8
6/30/1999,9.8,9.8
5/31/1999,9.9,9.9
4/30/1999,9.9,9.9
3/31/1999,9.9,9.9
2/28/1999,10,10
1/31/1999,10.1,10.1
