 Date,EUIPEMUY Close,EUIPEMUY Adj. Close
5/31/2013,-1.8,-1.8
4/30/2013,-0.7,-0.7
3/31/2013,-1.8,-1.8
2/28/2013,-2.9,-2.9
1/31/2013,-2.3,-2.3
12/31/2012,-2.8,-2.8
11/30/2012,-4,-4
10/31/2012,-3.3,-3.3
9/30/2012,-2.6,-2.6
8/31/2012,-1.1,-1.1
7/31/2012,-2.5,-2.5
6/30/2012,-2,-2
5/31/2012,-2.3,-2.3
4/30/2012,-2.5,-2.5
3/31/2012,-2,-2
2/29/2012,-1.8,-1.8
1/31/2012,-1.7,-1.7
12/31/2011,-1.6,-1.6
11/30/2011,-0.2,-0.2
10/31/2011,0.4,0.4
9/30/2011,1.7,1.7
8/31/2011,5.6,5.6
7/31/2011,4,4
6/30/2011,2.5,2.5
5/31/2011,4.1,4.1
4/30/2011,5.5,5.5
3/31/2011,6.4,6.4
2/28/2011,8,8
1/31/2011,5.7,5.7
12/31/2010,9.2,9.2
11/30/2010,8.1,8.1
10/31/2010,6.9,6.9
9/30/2010,6.2,6.2
8/31/2010,8.6,8.6
7/31/2010,7.9,7.9
6/30/2010,8.5,8.5
5/31/2010,8.4,8.4
4/30/2010,9,9
3/31/2010,7.7,7.7
2/28/2010,4,4
1/31/2010,2.3,2.3
12/31/2009,-3.8,-3.8
11/30/2009,-7.1,-7.1
10/31/2009,-11,-11
9/30/2009,-12.7,-12.7
8/31/2009,-14.9,-14.9
7/31/2009,-15.8,-15.8
6/30/2009,-16.8,-16.8
5/31/2009,-17.2,-17.2
4/30/2009,-21.4,-21.4
3/31/2009,-19.3,-19.3
2/28/2009,-18.4,-18.4
1/31/2009,-16.3,-16.3
12/31/2008,-12.3,-12.3
11/30/2008,-8.8,-8.8
10/31/2008,-5.8,-5.8
9/30/2008,-2.9,-2.9
8/31/2008,-1.4,-1.4
7/31/2008,-1.1,-1.1
6/30/2008,-0.4,-0.4
5/31/2008,-0.8,-0.8
4/30/2008,4.3,4.3
3/31/2008,1.8,1.8
2/29/2008,3,3
1/31/2008,3.8,3.8
12/31/2007,1.6,1.6
11/30/2007,3.2,3.2
10/31/2007,4.7,4.7
9/30/2007,3.7,3.7
8/31/2007,4.8,4.8
7/31/2007,4,4
6/30/2007,3.4,3.4
5/31/2007,3.7,3.7
4/30/2007,3.1,3.1
3/31/2007,4.6,4.6
2/28/2007,4.6,4.6
1/31/2007,4,4
12/31/2006,5.2,5.2
11/30/2006,3.2,3.2
10/31/2006,3.9,3.9
9/30/2006,4.4,4.4
8/31/2006,6.4,6.4
7/31/2006,4,4
6/30/2006,5.1,5.1
5/31/2006,6.2,6.2
4/30/2006,2.6,2.6
3/31/2006,4.1,4.1
2/28/2006,3.3,3.3
1/31/2006,2.8,2.8
12/31/2005,3.1,3.1
11/30/2005,3.6,3.6
10/31/2005,1.1,1.1
9/30/2005,1.8,1.8
8/31/2005,2.3,2.3
7/31/2005,0.9,0.9
6/30/2005,0.9,0.9
5/31/2005,0.1,0.1
4/30/2005,1.4,1.4
3/31/2005,0.7,0.7
2/28/2005,0.5,0.5
1/31/2005,1.3,1.3
12/31/2004,0.9,0.9
11/30/2004,1,1
10/31/2004,2,2
9/30/2004,3.8,3.8
8/31/2004,2.7,2.7
7/31/2004,2.8,2.8
6/30/2004,3.6,3.6
5/31/2004,3.9,3.9
4/30/2004,2,2
3/31/2004,1.4,1.4
2/29/2004,1.1,1.1
1/31/2004,0.5,0.5
12/31/2003,2,2
11/30/2003,0.5,0.5
10/31/2003,1.2,1.2
9/30/2003,-1.5,-1.5
8/31/2003,-1.4,-1.4
7/31/2003,0.6,0.6
6/30/2003,-1.7,-1.7
5/31/2003,-1.6,-1.6
4/30/2003,0.7,0.7
3/31/2003,0.1,0.1
2/28/2003,1.7,1.7
1/31/2003,1.6,1.6
12/31/2002,-0.1,-0.1
11/30/2002,2.3,2.3
10/31/2002,0.9,0.9
9/30/2002,0,0
8/31/2002,-1.1,-1.1
7/31/2002,0.6,0.6
6/30/2002,-0.9,-0.9
5/31/2002,-1.2,-1.2
4/30/2002,-0.6,-0.6
3/31/2002,-2,-2
2/28/2002,-3.2,-3.2
1/31/2002,-2.8,-2.8
12/31/2001,-4.3,-4.3
11/30/2001,-3.9,-3.9
10/31/2001,-2.1,-2.1
9/30/2001,-0.8,-0.8
8/31/2001,0.6,0.6
7/31/2001,-1.2,-1.2
6/30/2001,1.6,1.6
5/31/2001,0.3,0.3
4/30/2001,0.9,0.9
3/31/2001,3.3,3.3
2/28/2001,3.9,3.9
1/31/2001,4.5,4.5
12/31/2000,6.5,6.5
11/30/2000,4.1,4.1
10/31/2000,3.2,3.2
9/30/2000,4.2,4.2
8/31/2000,8.5,8.5
7/31/2000,4,4
6/30/2000,4,4
5/31/2000,7.1,7.1
4/30/2000,5.2,5.2
3/31/2000,5.2,5.2
2/29/2000,5.6,5.6
1/31/2000,3,3
12/31/1999,4.5,4.5
11/30/1999,4,4
10/31/1999,2.8,2.8
9/30/1999,1.9,1.9
8/31/1999,2.4,2.4
7/31/1999,0.6,0.6
6/30/1999,0.6,0.6
5/31/1999,-0.9,-0.9
4/30/1999,-0.4,-0.4
3/31/1999,-0.5,-0.5
2/28/1999,-1.1,-1.1
1/31/1999,1,1
