 Date,EUROAREACORINFRAT Close,EUROAREACORINFRAT Adj. Close
10/31/2002,2.3,2.3
9/30/2002,2.4,2.4
8/31/2002,2.4,2.4
7/31/2002,2.4,2.4
6/30/2002,2.5,2.5
5/31/2002,2.6,2.6
4/30/2002,2.4,2.4
3/31/2002,2.6,2.6
2/28/2002,2.5,2.5
1/31/2002,2.4,2.4
12/31/2001,2.3,2.3
11/30/2001,2.3,2.3
10/31/2001,2.2,2.2
9/30/2001,2,2
8/31/2001,1.8,1.8
7/31/2001,1.9,1.9
6/30/2001,2,2
5/31/2001,2,2
4/30/2001,1.8,1.8
3/31/2001,1.5,1.5
2/28/2001,1.2,1.2
1/31/2001,1.3,1.3
12/31/2000,1.6,1.6
11/30/2000,1.1,1.1
10/31/2000,1.1,1.1
9/30/2000,1,1
8/31/2000,0.9,0.9
7/31/2000,0.9,0.9
6/30/2000,1,1
5/31/2000,0.9,0.9
4/30/2000,1,1
3/31/2000,0.9,0.9
2/29/2000,1,1
1/31/2000,1.1,1.1
12/31/1999,1.1,1.1
11/30/1999,1,1
10/31/1999,0.9,0.9
9/30/1999,1,1
8/31/1999,1.1,1.1
7/31/1999,1.2,1.2
6/30/1999,1.1,1.1
5/31/1999,1.2,1.2
4/30/1999,1.2,1.2
3/31/1999,1.3,1.3
2/28/1999,1.3,1.3
1/31/1999,1.4,1.4
