 Date,N100 Open,N100 Low,N100 High,N100 Close,N100 Adj. Close,N100 SMA (200D),N100 SMA (50D)
8/26/2019,"1,031.09","1,028.01","1,041.99","1,037.81","1,037.81","1,019.79","1,065.80"
8/23/2019,"1,050.34","1,035.17","1,052.38","1,035.17","1,035.17","1,019.58","1,066.04"
8/22/2019,"1,051.02","1,043.91","1,054.85","1,045.62","1,045.62","1,019.39","1,066.29"
8/21/2019,"1,041.01","1,041.01","1,055.31","1,054.63","1,054.63","1,019.16","1,066.41"
8/20/2019,"1,044.21","1,036.38","1,048.75","1,038.27","1,038.27","1,018.82","1,066.37"
8/19/2019,"1,038.28","1,036.77","1,046.10","1,045.26","1,045.26","1,018.57","1,066.74"
8/16/2019,"1,021.14","1,020.90","1,032.02","1,031.32","1,031.32","1,018.30","1,066.87"
8/15/2019,"1,024.82","1,005.18","1,025.34","1,017.59","1,017.59","1,018.08","1,067.20"
8/14/2019,"1,042.75","1,017.47","1,042.75","1,021.46","1,021.46","1,017.92","1,067.52"
8/13/2019,"1,031.37","1,024.83","1,049.01","1,041.64","1,041.64","1,017.65","1,067.80"
8/12/2019,"1,045.01","1,032.40","1,049.60","1,034.78","1,034.78","1,017.28","1,067.57"
8/9/2019,"1,046.60","1,036.50","1,048.49","1,038.33","1,038.33","1,016.93","1,067.40"
8/8/2019,"1,041.16","1,036.53","1,049.96","1,049.96","1,049.96","1,016.61","1,067.07"
8/7/2019,"1,026.62","1,021.01","1,037.42","1,028.99","1,028.99","1,016.20","1,066.69"
8/6/2019,"1,025.35","1,022.90","1,034.42","1,022.90","1,022.90","1,015.90","1,066.57"
8/5/2019,"1,039.21","1,023.68","1,041.95","1,025.81","1,025.81","1,015.72","1,066.89"
8/2/2019,"1,062.41","1,049.45","1,068.24","1,051.28","1,051.28","1,015.56","1,067.20"
8/1/2019,"1,075.06","1,075.06","1,087.73","1,086.88","1,086.88","1,015.29","1,066.92"
7/31/2019,"1,079.29","1,077.88","1,083.80","1,081.09","1,081.09","1,014.86","1,065.82"
7/30/2019,"1,096.63","1,077.84","1,096.63","1,080.42","1,080.42","1,014.47","1,065.17"
7/29/2019,"1,094.14","1,093.18","1,099.75","1,095.44","1,095.44","1,014.01","1,064.54"
7/26/2019,"1,091.32","1,090.82","1,098.31","1,097.82","1,097.82","1,013.48","1,063.52"
7/25/2019,"1,102.15","1,087.06","1,108.48","1,092.21","1,092.21","1,012.94","1,062.74"
7/24/2019,"1,096.22","1,090.95","1,097.81","1,095.49","1,095.49","1,012.52","1,062.14"
7/23/2019,"1,090.30","1,088.87","1,099.07","1,095.66","1,095.66","1,012.20","1,061.21"
7/22/2019,"1,081.95","1,081.23","1,086.83","1,085.89","1,085.89","1,011.86","1,060.16"
7/19/2019,"1,086.66","1,078.50","1,090.02","1,081.64","1,081.64","1,011.63","1,058.99"
7/18/2019,"1,075.03","1,074.27","1,083.44","1,078.28","1,078.28","1,011.46","1,058.17"
7/17/2019,"1,084.29","1,079.98","1,088.98","1,081.27","1,081.27","1,011.39","1,057.36"
7/16/2019,"1,079.32","1,079.01","1,087.97","1,086.33","1,086.33","1,011.26","1,056.87"
7/15/2019,"1,079.07","1,074.60","1,084.26","1,080.24","1,080.24","1,011.15","1,056.20"
7/12/2019,"1,076.55","1,075.94","1,081.31","1,079.31","1,079.31","1,011.05","1,055.98"
7/11/2019,"1,082.07","1,076.15","1,083.10","1,077.10","1,077.10","1,011.00","1,056.00"
7/10/2019,"1,078.05","1,077.37","1,085.27","1,078.69","1,078.69","1,010.95","1,056.03"
7/9/2019,"1,081.73","1,075.77","1,082.98","1,080.53","1,080.53","1,010.87","1,056.18"
7/8/2019,"1,083.45","1,081.86","1,087.38","1,084.57","1,084.57","1,010.77","1,056.26"
7/5/2019,"1,091.67","1,082.45","1,092.06","1,086.08","1,086.08","1,010.67","1,056.21"
7/4/2019,"1,092.92","1,090.95","1,094.49","1,092.29","1,092.29","1,010.52","1,056.08"
7/3/2019,"1,082.18","1,082.18","1,091.92","1,091.78","1,091.78","1,010.30","1,055.92"
7/2/2019,"1,080.77","1,077.12","1,082.17","1,081.46","1,081.46","1,010.07","1,055.85"
7/1/2019,"1,080.97","1,077.89","1,085.31","1,078.17","1,078.17","1,009.87","1,055.94"
6/28/2019,"1,062.12","1,061.97","1,072.23","1,071.44","1,071.44","1,009.70","1,056.02"
6/27/2019,"1,064.91","1,057.01","1,065.78","1,062.38","1,062.38","1,009.53","1,056.15"
6/26/2019,"1,064.44","1,062.96","1,069.71","1,063.82","1,063.82","1,009.42","1,056.39"
6/25/2019,"1,064.83","1,064.83","1,068.75","1,066.73","1,066.73","1,009.27","1,056.57"
6/24/2019,"1,071.74","1,067.92","1,075.57","1,069.33","1,069.33","1,009.11","1,056.63"
6/21/2019,"1,074.56","1,069.31","1,080.35","1,071.40","1,071.40","1,008.91","1,056.52"
6/20/2019,"1,077.42","1,074.16","1,080.05","1,074.16","1,074.16","1,008.68","1,056.29"
6/19/2019,"1,070.15","1,066.64","1,071.60","1,071.28","1,071.28","1,008.48","1,056.14"
6/18/2019,"1,049.05","1,045.70","1,071.61","1,070.19","1,070.19","1,008.36","1,056.07"
6/17/2019,"1,048.13","1,046.45","1,052.71","1,049.70","1,049.70","1,008.31","1,055.96"
6/14/2019,"1,049.53","1,043.43","1,049.81","1,047.69","1,047.69","1,008.35","1,056.27"
6/13/2019,"1,050.27","1,048.57","1,055.22","1,051.66","1,051.66","1,008.47","1,056.46"
6/12/2019,"1,051.12","1,049.25","1,054.08","1,052.32","1,052.32","1,008.59","1,056.48"
6/11/2019,"1,052.46","1,051.78","1,061.11","1,056.85","1,056.85","1,008.70","1,056.28"
6/10/2019,"1,051.69","1,049.62","1,054.66","1,051.88","1,051.88","1,008.78","1,055.78"
6/7/2019,"1,036.92","1,036.92","1,051.75","1,047.98","1,047.98","1,008.84","1,055.41"
6/6/2019,"1,036.58","1,030.69","1,043.35","1,033.31","1,033.31","1,008.92","1,055.11"
6/5/2019,"1,031.07","1,030.23","1,038.24","1,035.55","1,035.55","1,009.07","1,054.91"
6/4/2019,"1,019.51","1,016.78","1,032.12","1,030.01","1,030.01","1,009.20","1,054.73"
6/3/2019,"1,015.35","1,010.93","1,026.26","1,026.26","1,026.26","1,009.34","1,055.03"
5/31/2019,"1,020.56","1,013.58","1,022.43","1,022.09","1,022.09","1,009.47","1,055.38"
5/30/2019,"1,026.77","1,026.51","1,032.37","1,030.75","1,030.75","1,009.62","1,056.01"
5/29/2019,"1,028.60","1,020.45","1,029.20","1,022.99","1,022.99","1,009.69","1,056.37"
5/28/2019,"1,042.78","1,035.81","1,043.99","1,038.91","1,038.91","1,009.88","1,056.86"
5/27/2019,"1,042.69","1,039.40","1,046.19","1,041.58","1,041.58","1,009.99","1,056.82"
5/24/2019,"1,035.76","1,035.02","1,041.69","1,037.34","1,037.34","1,010.10","1,056.54"
5/23/2019,"1,040.36","1,030.37","1,041.45","1,031.75","1,031.75","1,010.30","1,056.22"
5/22/2019,"1,047.66","1,041.33","1,051.85","1,048.38","1,048.38","1,010.54","1,055.99"
5/21/2019,"1,046.73","1,043.54","1,051.29","1,048.97","1,048.97","1,010.70","1,055.30"
5/20/2019,"1,056.24","1,040.20","1,059.24","1,044.50","1,044.50","1,010.83","1,054.75"
5/17/2019,"1,057.90","1,052.47","1,061.56","1,059.02","1,059.02","1,010.98","1,054.38"
5/16/2019,"1,046.56","1,043.38","1,062.02","1,062.02","1,062.02","1,011.04","1,053.79"
5/15/2019,"1,044.54","1,034.74","1,049.04","1,049.04","1,049.04","1,011.11","1,053.10"
5/14/2019,"1,032.99","1,032.15","1,042.87","1,042.87","1,042.87","1,011.25","1,052.63"
5/13/2019,"1,041.32","1,025.27","1,041.78","1,027.70","1,027.70","1,011.42","1,052.16"
5/10/2019,"1,046.00","1,038.32","1,049.75","1,040.59","1,040.59","1,011.68","1,051.88"
5/9/2019,"1,047.88","1,036.12","1,048.76","1,037.71","1,037.71","1,011.86","1,051.41"
5/8/2019,"1,051.38","1,049.61","1,058.37","1,056.85","1,056.85","1,012.03","1,050.97"
5/7/2019,"1,066.51","1,051.60","1,070.31","1,052.90","1,052.90","1,012.11","1,050.10"
5/6/2019,"1,062.25","1,057.75","1,070.03","1,069.14","1,069.14","1,012.16","1,049.28"
5/3/2019,"1,077.84","1,077.24","1,083.50","1,080.24","1,080.24","1,012.15","1,048.16"
5/2/2019,"1,083.29","1,077.86","1,084.19","1,078.50","1,078.50","1,012.09","1,046.69"
4/30/2019,"1,081.94","1,080.38","1,086.58","1,086.58","1,086.58","1,012.06","1,045.30"
4/29/2019,"1,081.41","1,077.78","1,085.96","1,084.27","1,084.27","1,011.95","1,043.69"
4/26/2019,"1,079.71","1,077.07","1,082.77","1,081.94","1,081.94","1,011.84","1,041.84"
4/25/2019,"1,082.51","1,076.18","1,082.96","1,079.70","1,079.70","1,011.76","1,040.11"
4/24/2019,"1,085.63","1,081.91","1,088.15","1,084.41","1,084.41","1,011.67","1,038.32"
4/23/2019,"1,084.82","1,082.27","1,088.84","1,088.01","1,088.01","1,011.51","1,036.29"
4/18/2019,"1,079.51","1,077.07","1,089.06","1,085.97","1,085.97","1,011.40","1,034.01"
4/17/2019,"1,078.27","1,076.86","1,083.27","1,082.20","1,082.20","1,011.27","1,031.89"
4/16/2019,"1,075.09","1,073.88","1,078.70","1,078.14","1,078.14","1,011.12","1,030.17"
4/15/2019,"1,074.03","1,072.52","1,076.64","1,074.31","1,074.31","1,010.98","1,028.52"
4/12/2019,"1,068.52","1,067.54","1,073.50","1,072.63","1,072.63","1,010.83","1,026.61"
4/11/2019,"1,067.24","1,062.63","1,072.19","1,069.82","1,069.82","1,010.69","1,024.72"
4/10/2019,"1,060.95","1,060.54","1,065.82","1,063.92","1,063.92","1,010.52","1,022.78"
4/9/2019,"1,063.41","1,059.96","1,070.21","1,060.06","1,060.06","1,010.42","1,020.89"
4/8/2019,"1,066.62","1,064.70","1,069.47","1,066.32","1,066.32","1,010.30","1,018.89"
4/5/2019,"1,065.98","1,065.83","1,069.92","1,067.98","1,067.98","1,010.19","1,016.63"
4/4/2019,"1,063.72","1,061.75","1,066.73","1,064.64","1,064.64","1,010.03","1,014.50"
4/3/2019,"1,063.32","1,061.92","1,065.49","1,065.36","1,065.36","1,009.88","1,012.28"
4/2/2019,"1,054.02","1,053.70","1,058.89","1,056.93","1,056.93","1,009.83","1,009.93"
4/1/2019,"1,050.32","1,047.24","1,054.12","1,052.70","1,052.70","1,009.75","1,007.75"
3/29/2019,"1,038.33","1,036.03","1,043.18","1,042.48","1,042.48","1,009.74","1,005.74"
3/28/2019,"1,032.46","1,031.35","1,037.99","1,031.69","1,031.69","1,009.78","1,003.96"
3/27/2019,"1,034.30","1,028.47","1,040.08","1,033.43","1,033.43","1,009.94","1,002.04"
3/26/2019,"1,025.72","1,022.97","1,034.86","1,033.02","1,033.02","1,010.12","1,000.11"
3/25/2019,"1,016.21","1,016.21","1,026.64","1,023.13","1,023.13","1,010.33",998.14
3/22/2019,"1,048.00","1,025.66","1,048.73","1,026.78","1,026.78","1,010.53",996.26
3/21/2019,"1,043.83","1,039.27","1,047.06","1,045.02","1,045.02","1,010.70",994.5
3/20/2019,"1,051.74","1,043.95","1,053.12","1,043.95","1,043.95","1,010.80",992.32
3/19/2019,"1,048.58","1,048.35","1,056.73","1,053.21","1,053.21","1,010.87",990.16
3/18/2019,"1,047.06","1,046.60","1,049.57","1,049.10","1,049.10","1,010.89",987.68
3/15/2019,"1,037.33","1,037.16","1,049.22","1,047.25","1,047.25","1,010.94",985.09
3/14/2019,"1,028.42","1,028.42","1,038.57","1,036.78","1,036.78","1,011.02",982.57
3/13/2019,"1,019.78","1,019.63","1,028.19","1,027.58","1,027.58","1,011.17",979.78
3/12/2019,"1,024.35","1,017.46","1,024.73","1,021.34","1,021.34","1,011.33",977.44
3/11/2019,"1,017.69","1,014.28","1,020.94","1,020.48","1,020.48","1,011.49",975.32
3/8/2019,"1,015.00","1,011.78","1,017.26","1,013.72","1,013.72","1,011.65",973.05
3/7/2019,"1,024.20","1,017.94","1,029.08","1,021.46","1,021.46","1,011.92",970.61
3/6/2019,"1,027.83","1,024.57","1,030.61","1,026.03","1,026.03","1,012.17",968.13
3/5/2019,"1,027.70","1,023.88","1,030.90","1,029.66","1,029.66","1,012.40",965.81
3/4/2019,"1,029.19","1,027.09","1,032.41","1,027.62","1,027.62","1,012.63",963.43
3/1/2019,"1,024.90","1,023.80","1,028.43","1,025.26","1,025.26","1,012.93",961.43
2/28/2019,"1,010.92","1,010.92","1,020.44","1,019.34","1,019.34","1,013.23",959.4
2/27/2019,"1,013.04","1,010.99","1,014.95","1,013.87","1,013.87","1,013.54",957.65
2/26/2019,"1,011.95","1,008.80","1,018.77","1,017.15","1,017.15","1,013.89",956.24
2/25/2019,"1,016.06","1,014.42","1,018.21","1,015.84","1,015.84","1,014.17",954.91
2/22/2019,"1,009.83","1,009.31","1,015.88","1,013.22","1,013.22","1,014.45",953.65
2/21/2019,"1,013.28","1,009.59","1,014.56","1,012.03","1,012.03","1,014.74",952.09
2/20/2019,"1,008.05","1,005.15","1,013.68","1,012.99","1,012.99","1,015.03",950.31
2/19/2019,"1,008.11","1,002.43","1,009.86","1,006.63","1,006.63","1,015.32",948.81
2/18/2019,"1,005.56","1,005.17","1,009.45","1,009.09","1,009.09","1,015.64",947.28
2/15/2019,991.97,990.42,"1,008.21","1,005.88","1,005.88","1,015.91",946.36
2/14/2019,"1,002.41",992.12,"1,002.99",992.12,992.12,"1,016.21",945.76
2/13/2019,993.77,992.39,999.08,995.48,995.48,"1,016.57",945.58
2/12/2019,989.63,988.14,993.03,989.95,989.95,"1,016.88",945.14
2/11/2019,978.91,978.63,985.12,983,983,"1,017.25",944.84
